n,avg_registration_ms,batch_ms,proof_gen_ms,verify_ms,throughput_reg_per_sec
5,115.71247999090701,36.05490003246814,31.748799956403673,32.43680007290095,8.642110168916807
5,125.27463999576867,49.05429994687438,42.83640009816736,36.569699994288385,7.982461574296094
5,118.11380002181977,43.07160002645105,37.693999940529466,58.84750001132488,8.466411205255142
5,198.98141999728978,64.01540001388639,70.18520007841289,88.10960000846535,5.025594852090313
5,235.09062002412975,74.79769992642105,71.53620000462979,71.33079995401204,4.253678857528896
10,252.81424999702722,79.20290005858988,83.53960001841187,85.96569998189807,3.9554732378090187
10,245.32051000278443,83.82080006413162,83.44179997220635,81.42279996536672,4.076300020689872
10,242.76259002508596,77.04920007381588,78.72180000413209,76.66269992478192,4.119250828130745
10,236.5030899993144,77.972799888812,82.03200006391853,85.7313999440521,4.22827456505071
10,234.92921999422833,74.95310006197542,82.18210004270077,75.0662999926135,4.256601201096091
25,235.9073240077123,98.28829998150468,77.35180004965514,79.98260005842894,4.238952750645876
25,233.39153999928385,87.1366000501439,80.43159998487681,71.73289998900145,4.284645450315245
25,235.97635999321938,79.8733999254182,75.15500008594245,72.01140001416206,4.237712625233876
25,234.23746000044048,78.90880003105849,73.18659999873489,74.29680007044226,4.269171976156673
25,229.69759999308735,79.78909998200834,71.7756999656558,75.73200005572289,4.353550058991015
50,228.66386400302872,82.47119991574436,77.12039991747588,80.53739997558296,4.373231443280232
50,217.43371999124065,82.84979988820851,74.6211000951007,72.39410001784563,4.599102660067101
50,219.09921600017697,78.93519999925047,70.82450005691499,77.35929999034852,4.564142301628283
50,228.411040015053,94.37539998907596,87.65540004242212,87.2187000932172,4.378072092899261
50,221.55192001955584,49.433200038038194,44.86590006854385,43.593900045379996,4.5136146863982605
100,185.93552200007252,81.74120006151497,70.91759995091707,71.77199993748218,5.378208473793458
100,194.3511959980242,88.01140007562935,79.49729997199029,71.1375999962911,5.145324652440864
100,227.69372900249436,82.05099997576326,69.32629994116724,72.43979990016669,4.391864476816773
100,224.67843600315973,84.44210002198815,71.76239998079836,72.39460002165288,4.450805416795481
100,224.18103900854476,85.90429998002946,70.76670008245856,74.66800010297447,4.4606805482861756
